src_id,relation,dst_id,evidence
ARTICLE::MK_473688,mentions,ENTITY::상향,상향
ARTICLE::MK_510071,has_scope,SCOPE::섹터,배터리
ARTICLE::MK_510071,has_direction,DIRECTION::neutral,
ARTICLE::MK_510071,has_driver,FACTOR::물가/원자재,리튬
ARTICLE::MK_510071,mentions,ENTITY::배터리,배터리
ARTICLE::MK_510071,mentions,ENTITY::리튬,리튬
ARTICLE::MK_526636,has_scope,SCOPE::시장전체,
ARTICLE::MK_526636,has_direction,DIRECTION::positive,반등
ARTICLE::MK_526636,has_driver,FACTOR::기타,
ARTICLE::MK_526636,mentions,ENTITY::반등,반등
ARTICLE::MK_550902,has_scope,SCOPE::시장전체,가계부채
ARTICLE::MK_550902,has_direction,DIRECTION::neutral,
ARTICLE::MK_550902,has_driver,FACTOR::소비/고용,가계부채
ARTICLE::MK_550902,mentions,ENTITY::가계부채,가계부채
ARTICLE::MK_592327,has_scope,SCOPE::시장전체,수출
ARTICLE::MK_592327,has_direction,DIRECTION::neutral,
ARTICLE::MK_592327,has_driver,FACTOR::환율/무역,수출
ARTICLE::MK_592327,mentions,ENTITY::수출,수출
ARTICLE::MK_11458014,has_scope,SCOPE::시장전체,대출
ARTICLE::MK_11458014,has_direction,DIRECTION::neutral,
ARTICLE::MK_11458014,has_driver,FACTOR::부동산/건설,전세
ARTICLE::MK_11458014,mentions,ENTITY::대출,대출
ARTICLE::MK_11458014,mentions,ENTITY::전세,전세
ARTICLE::MK_11460703,has_scope,SCOPE::시장전체,한은
ARTICLE::MK_11460703,has_direction,DIRECTION::neutral,
ARTICLE::MK_11460703,has_driver,FACTOR::금리/통화,한은
ARTICLE::MK_11460703,mentions,ENTITY::한은,한은
ARTICLE::MK_11472292,has_scope,SCOPE::섹터,AI
ARTICLE::MK_11472292,has_direction,DIRECTION::neutral,
ARTICLE::MK_11472292,has_driver,FACTOR::산업수요/공급망,AI
ARTICLE::MK_11472292,mentions,ENTITY::AI,AI
ARTICLE::MK_11476153,has_scope,SCOPE::기업,SK그룹
ARTICLE::MK_11476153,has_direction,DIRECTION::neutral,
ARTICLE::MK_11476153,has_driver,FACTOR::환율/무역,수출
ARTICLE::MK_11476153,mentions,ENTITY::SK그룹,SK그룹
